Player,Tm,Games,PTS,TRB,AST,Cluster
Royce O'Neale,PHO,45,9.444444444444445,5.088888888888889,2.111111111111111,1
Noah Clowney,BRK,37,9.432432432432432,3.918918918918919,0.8108108108108109,1
Dalton Knecht,LAL,48,9.416666666666666,3.0625,0.875,1
Patrick Williams,CHI,42,9.404761904761903,4.166666666666667,2.1666666666666665,1
Ziaire Williams,BRK,38,9.394736842105264,4.789473684210527,1.4210526315789471,1
Brandin Podziemski,GSW,38,9.36842105263158,4.605263157894737,3.3684210526315788,1
Chris Paul,SAS,49,9.346938775510203,4.081632653061225,8.16326530612245,1
Brice Sensabaugh,UTA,40,9.275,2.6,1.25,1
Julian Strawther,DEN,52,9.25,2.1346153846153846,1.3461538461538465,1
Miles McBride,NYK,41,9.146341463414634,2.3902439024390243,2.731707317073171,1
Cole Anthony,ORL,48,9.083333333333334,2.875,2.770833333333333,1
Moses Moody,GSW,43,9.069767441860463,2.1627906976744184,1.1162790697674418,1
Caleb Martin,PHI,31,9.064516129032258,4.387096774193548,2.225806451612903,1
Kentavious Caldwell-Pope,ORL,50,8.98,2.04,1.84,1
Anthony Black,ORL,49,8.918367346938776,2.571428571428572,3.4081632653061225,1
Dorian Finney-Smith,BRK,35,8.885714285714286,3.857142857142857,1.3142857142857145,1
Max Christie,LAL,48,8.75,2.875,1.5208333333333333,1
Georges Niang,CLE,51,8.72549019607843,3.7058823529411766,1.3137254901960784,1
Marcus Smart,MEM,19,8.68421052631579,2.263157894736842,3.736842105263158,1
Jaime Jaquez,MIA,26,8.615384615384615,4.653846153846154,2.1153846153846154,1
Nickeil Alexander-Walker,MIN,52,8.615384615384615,2.9038461538461537,2.4038461538461537,1
Carlton Carrington,WAS,51,8.607843137254902,3.882352941176471,3.882352941176471,1
Tristan Da Silva,ORL,49,8.53061224489796,3.959183673469388,1.7142857142857142,1
Max Strus,CLE,24,8.5,4.333333333333333,2.958333333333333,1
Jalen Smith,CHI,47,8.446808510638299,5.617021276595745,0.9148936170212766,1
Dalano Banton,POR,40,8.425,1.95,2.075,1
Bruce Brown,TOR,18,8.38888888888889,3.7777777777777777,1.5555555555555556,1
Draymond Green,GSW,37,8.378378378378379,5.945945945945946,5.513513513513513,1
Jaden Hardy,DAL,39,8.35897435897436,1.5897435897435896,1.3846153846153846,1
Mike Conley,MIN,47,8.23404255319149,2.6808510638297878,4.595744680851064,1
Kevin Porter Jr.,LAC,18,8.222222222222221,3.388888888888889,3.5,1
Aaron Nesmith,IND,15,8.2,3.333333333333333,1.2666666666666666,1
Trendon Watford,BRK,17,8.176470588235293,3.0588235294117645,1.3529411764705883,1
Justin Edwards,PHI,22,8.090909090909092,3.090909090909091,1.4090909090909092,1
Peyton Watson,DEN,48,8.083333333333334,3.4375,1.5,1
Tyrese Martin,BRK,34,8.0,3.941176470588236,1.7352941176470589,1
Brandon Boston Jr.,NOP,12,7.916666666666667,2.75,0.8333333333333334,1
Ricky Council IV,PHI,21,7.904761904761905,2.761904761904762,1.5714285714285714,1
Kyshawn George,WAS,46,7.891304347826087,3.782608695652174,2.1739130434782608,1
Kevin Huerter,SAC,43,7.860465116279069,2.7906976744186047,1.7209302325581397,1
Al Horford,BOS,40,7.85,5.25,1.925,1
Cody Martin,CHO,39,7.846153846153846,4.512820512820513,2.282051282051282,1
Justin Champagnie,WAS,32,7.78125,4.5,0.9375,1
Jay Huff,MEM,44,7.75,2.227272727272727,0.6590909090909091,1
Ja'Kobe Walter,TOR,33,7.727272727272727,2.393939393939394,1.4545454545454546,1
Keon Ellis,SAC,49,7.714285714285714,2.4285714285714284,1.2653061224489797,1
A.J. Green,MIL,44,7.659090909090909,2.25,1.2727272727272727,1
Taurean Prince,MIL,51,7.588235294117647,3.607843137254902,2.0,1
Garrison Mathews,ATL,43,7.534883720930233,1.837209302325581,1.302325581395349,1
Josh Green,CHO,45,7.488888888888889,2.844444444444445,1.4666666666666666,1
Sam Hauser,BOS,43,7.488372093023256,2.9302325581395348,1.0,1
Vasilije Micić,CHO,36,7.472222222222222,2.4166666666666665,3.5277777777777777,1
Scotty Pippen Jr.,MEM,18,7.388888888888889,3.2222222222222223,3.6666666666666665,1
Jake LaRavia,MEM,47,7.297872340425532,4.361702127659575,2.8297872340425534,1
Cason Wallace,OKC,47,7.23404255319149,3.404255319148936,2.3617021276595747,1
Bones Hyland,LAC,20,7.2,1.2,1.4,1
Johnny Juzang,UTA,34,7.176470588235294,2.617647058823529,0.9705882352941176,1
Lonzo Ball,CHI,30,7.166666666666667,3.433333333333333,3.466666666666667,1
Cameron Payne,NYK,45,7.155555555555556,1.4222222222222225,2.533333333333333,1
Sam Merrill,CLE,43,7.1395348837209305,1.9069767441860463,1.5813953488372092,1
Kelly Olynyk,TOR,24,7.125,3.7083333333333335,2.333333333333333,1
Quinten Post,GSW,13,7.076923076923077,3.3846153846153846,1.7692307692307692,1
Eric Gordon,PHI,38,7.0,1.2105263157894737,1.6842105263157894,1
Josh Okogie,PHO,32,6.875,3.0,0.75,1
Vit Krejci,ATL,37,6.702702702702703,2.6486486486486487,2.5405405405405403,1
Gary Payton II,GSW,12,6.5,3.4166666666666665,1.4166666666666667,1
Trey Lyles,SAC,41,6.463414634146342,4.634146341463414,0.951219512195122,1
Isaiah Collier,UTA,42,6.4523809523809526,2.9047619047619047,5.523809523809524,1
Ajay Mitchell,OKC,35,6.428571428571429,1.9714285714285715,1.6857142857142855,1
Haywood Highsmith,MIA,48,6.395833333333333,3.1041666666666665,1.2083333333333333,1
Simone Fontecchio,DET,47,6.382978723404255,2.893617021276596,0.8723404255319149,1
Davion Mitchell,TOR,44,6.340909090909091,1.9318181818181817,4.613636363636363,1
Thomas Bryant,MIA,34,6.294117647058823,3.764705882352941,0.8823529411764706,1
Dru Smith,MIA,14,6.285714285714286,2.571428571428572,1.6428571428571428,1
Jarace Walker,IND,48,6.208333333333333,3.2291666666666665,1.4583333333333333,1
Kyle Filipowski,UTA,40,6.1,4.8,1.775,1
Dean Wade,CLE,35,6.0285714285714285,5.085714285714285,1.5714285714285714,1
Javonte Green,NOP,46,5.913043478260869,3.5869565217391304,0.9130434782608696,1
Jaylin Williams,OKC,23,5.869565217391305,5.652173913043479,2.4347826086956523,1
Kris Dunn,LAC,44,5.818181818181818,3.340909090909091,2.772727272727273,1
Isaac Okoro,CLE,28,5.75,2.071428571428572,1.6428571428571428,1
